Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/013/694/585/GCA_013694585.1_genomic.fna.gz	91.62	0.121	89.45-92.97	0.121	0.08-0.26	1	1.057	70/9032	85.49	JACDCB010000089.1 MAG: Nitrosopumilus sp. isolate MGR_bin297 SD2897-2912_k127_102375, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/442/545/GCF_006442545.2_genomic.fna.gz	91.62	0.181	90.80-92.69	0.181	0.12-0.25	1	1.354	328/29015	86.54	NZ_CP083952.1 Mesorhizobium sp. B2-1-8 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/223/485/GCF_029223485.1_genomic.fna.gz	91.62	0.213	90.96-92.26	0.213	0.16-0.26	1	1.340	633/48365	86.95	NZ_JARHTP010000010.1 Streptomyces coacervatus strain JCM 17138 NODE_10_length_395589_cov_52.139111, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/003/219/945/GCA_003219945.1_genomic.fna.gz	91.61	0.266	90.48-92.82	0.266	0.16-0.40	1	1.258	151/9581	87.47	QHQV01000251.1 MAG: Verrucomicrobia bacterium isolate AV119 14_0903_02_20cm_scaffold_1003_curated, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/799/405/GCF_004799405.1_genomic.fna.gz	91.61	0.486	91.19-91.95	0.486	0.42-0.58	1	1.448	611/23335	88.91	NZ_SSMW01000001.1 MAG: Bradyrhizobium sp. isolate LY.8 1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/696/085/GCF_900696085.1_genomic.fna.gz	91.61	0.466	91.28-91.97	0.466	0.41-0.53	1	1.497	1013/39924	88.82	NZ_CAADFC020000001.1 Bradyrhizobium ivorense strain CI-1B isolate CI-1B, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/435/725/GCA_023435725.1_genomic.fna.gz	91.61	0.444	91.31-92.03	0.444	0.37-0.50	1	1.530	832/34335	88.69	JAEYRD010000214.1 MAG: Proteobacteria bacterium isolate OH_CBB_46 k127_1011013, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/696/115/GCA_000696115.1_genomic.fna.gz	91.61	0.248	90.95-92.24	0.248	0.20-0.30	1	1.373	576/38295	87.34	JJOH01000001.1 Streptomyces olindensis strain DAUFPE 5622, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/074/055/GCF_023074055.1_genomic.fna.gz	91.61	0.446	91.28-91.94	0.446	0.39-0.51	1	1.498	903/36889	88.72	NZ_JADPKR010000013.1 Bradyrhizobium sp. 141 13LoS18_3_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/458/585/GCA_025458585.1_genomic.fna.gz	91.61	0.361	90.85-92.44	0.361	0.24-0.47	1	1.537	242/11873	88.20	JALOSD010000244.1 MAG: Burkholderiaceae bacterium isolate Prado198 scaffold_100442, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/287/445/GCF_030287445.1_genomic.fna.gz	91.60	0.236	91.06-92.20	0.236	0.19-0.28	1	1.292	583/41014	87.18	NZ_JASVWB010000001.1 Streptomyces sp. ALI-76-A contig_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/261/685/GCF_000261685.1_genomic.fna.gz	91.60	0.462	91.26-91.96	0.462	0.40-0.53	1	1.539	857/34168	88.79	NZ_AJQE01000001.1 Bradyrhizobium sp. CCBAU 43298 Scaffold1.contig1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/715/395/GCF_006715395.1_genomic.fna.gz	91.59	0.221	90.92-92.31	0.221	0.17-0.27	1	1.296	540/40412	87.01	NZ_VFNC01000001.1 Streptomyces sp. SLBN-31 Ga0314628_11, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/450/585/GCA_025450585.1_genomic.fna.gz	91.59	0.613	90.99-92.21	0.613	0.47-0.81	1	1.548	279/9066	89.38	JANWHD010000001.1 MAG: Solirubrobacterales bacterium isolate CRAIB_MAG6 c_000000000260, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/270/495/GCF_001270495.1_genomic.fna.gz	91.59	0.209	90.95-92.38	0.209	0.15-0.26	1	1.315	562/44208	86.87	NZ_LGUR01000001.1 Streptomyces viridochromogenes strain NRRL 3413 P009contig1.1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/510/245/GCF_019510245.1_genomic.fna.gz	91.58	0.186	90.86-92.49	0.186	0.13-0.24	1	1.323	567/49768	86.56	NZ_JAEKKT010000504.1 MAG: Streptomyces sp. isolate SH_71_13 SH_S37_scaffold_100010, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/782/915/GCF_006782915.1_genomic.fna.gz	91.58	0.236	90.87-92.36	0.236	0.17-0.31	1	1.366	489/34462	87.17	NZ_VCNP01000001.1 Streptomyces calvus strain T3018 Scaffold1_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/073/355/GCF_023073355.1_genomic.fna.gz	91.58	0.526	91.25-91.93	0.526	0.45-0.61	1	1.507	726/26311	89.06	NZ_JADPJI010000005.1 Bradyrhizobium sp. 199 11LoS20_4_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/017/881/085/GCF_017881085.1_genomic.fna.gz	91.57	0.542	91.17-91.89	0.542	0.46-0.62	1	1.515	643/23066	89.09	NZ_JADGRI010000415.1 MAG: Bradyrhizobium sp. isolate Chersky.37_22 contig-100_10019, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/049/245/GCF_019049245.1_genomic.fna.gz	91.57	0.224	90.94-92.15	0.224	0.18-0.28	1	1.370	600/44513	87.03	NZ_JAGMUK010000082.1 Streptomyces sp. AC555_RSS877 NODE_100_length_115604_cov_42.772438, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/114/935/GCF_004114935.1_genomic.fna.gz	91.57	0.401	91.18-92.02	0.401	0.33-0.47	1	1.467	873/39268	88.45	NZ_CP022221.1 Bradyrhizobium zhanjiangense strain CCBAU 51778 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/142/965/GCF_900142965.1_genomic.fna.gz	91.56	0.245	90.86-92.21	0.245	0.18-0.31	1	1.355	428/29520	87.23	NZ_FRCQ01000072.1 Rhizobacter sp. OV335, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/114/915/GCF_004114915.1_genomic.fna.gz	91.56	0.446	91.13-91.97	0.446	0.37-0.52	1	1.541	838/34781	88.68	NZ_CP022219.1 Bradyrhizobium guangxiense strain CCBAU 53363 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/094/575/GCF_900094575.1_genomic.fna.gz	91.56	0.431	91.08-91.93	0.431	0.37-0.51	1	1.495	825/35113	88.60	NZ_FMAE01000108.1 Bradyrhizobium yuanmingense strain CCBAU 10071, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/945/957/355/GCF_945957355.1_genomic.fna.gz	91.55	0.205	90.63-92.62	0.205	0.13-0.28	1	1.458	310/25208	86.77	NZ_CAMFKM010000001.1 MAG: uncultured Reyranella sp. isolate SRR12456166_bin.8_metaWRAP_v1.3_MAG ERZ12289973.2, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/026/343/335/GCF_026343335.1_genomic.fna.gz	91.55	0.236	90.82-92.28	0.236	0.18-0.29	1	1.295	549/39347	87.13	NZ_JAPELX010000003.1 Streptomyces sp. NBC_00078 NBC_00078_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/852/475/GCA_030852475.1_genomic.fna.gz	91.55	0.523	90.91-92.18	0.523	0.40-0.67	1	1.558	285/10520	89.01	JALYWY010000386.1 MAG: Actinomycetota bacterium isolate KUW bin25 SD1473_k127_101019, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/651/035/GCF_014651035.1_genomic.fna.gz	91.54	0.257	91.00-92.06	0.257	0.21-0.31	1	1.375	570/37895	87.34	NZ_BMWC01000001.1 Streptomyces lomondensis strain JCM 4866 sequence01, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/004/296/815/GCA_004296815.1_genomic.fna.gz	91.54	0.310	90.64-92.18	0.310	0.24-0.41	1	1.459	353/19853	87.81	SCVT01000192.1 MAG: Reyranella sp. isolate GW928_bin.5 GW928_bin.5-10146-1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/378/205/GCF_030378205.1_genomic.fna.gz	91.53	0.457	91.11-91.93	0.457	0.38-0.54	1	1.568	804/33055	88.70	NZ_CP127385.1 Bradyrhizobium sp. NP1 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/012/034/205/GCF_012034205.1_genomic.fna.gz	91.53	0.267	90.73-92.31	0.267	0.19-0.34	1	1.421	437/27960	87.45	NZ_JAATEM010000001.1 Streptomyces composti strain SBST2-5 1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/031/181/555/GCF_031181555.1_genomic.fna.gz	91.53	0.243	90.69-92.37	0.243	0.17-0.31	1	1.366	423/29644	87.19	NZ_JAPSKQ010000249.1 MAG: Streptomyces sp. isolate RH52_bin.044 NODE_10043_length_6397_cov_46.805742, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/725/125/GCF_000725125.1_genomic.fna.gz	91.53	0.242	90.75-92.17	0.242	0.19-0.31	1	1.395	461/31926	87.22	NZ_JFCB01000001.1 Streptomyces toyocaensis strain NRRL 15009 contig00001, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/032/475/GCF_003032475.1_genomic.fna.gz	91.53	0.214	90.84-92.26	0.214	0.16-0.27	1	1.287	530/41663	86.87	NZ_CP028369.1 Streptomyces sp. P3 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/152/805/GCA_030152805.1_genomic.fna.gz	91.51	0.595	90.93-92.05	0.595	0.46-0.74	1	1.545	341/11590	89.25	JASLIG010000118.1 MAG: Solirubrobacterales bacterium isolate UTK.bins.113 k141_10350217, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/813/775/GCF_029813775.1_genomic.fna.gz	91.51	0.247	90.80-92.25	0.247	0.18-0.31	1	1.437	458/31680	87.23	NZ_JARVKW010000100.1 Streptomyces sp. DH24 NODE_101_length_572_cov_1.570787, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/931/445/GCF_000931445.1_genomic.fna.gz	91.51	0.214	90.83-92.39	0.214	0.15-0.27	1	1.409	421/33168	86.86	NZ_CP010849.1 Streptomyces cyaneogriseus subsp. noncyanogenus strain NMWT 1 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/369/795/GCF_003369795.1_genomic.fna.gz	91.51	0.231	90.76-92.37	0.231	0.17-0.29	1	1.361	452/33485	87.03	NZ_CP026730.1 Streptomyces sp. CB09001 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/101/665/GCF_023101665.1_genomic.fna.gz	91.51	0.413	91.10-92.00	0.413	0.33-0.48	1	1.497	859/38494	88.46	NZ_CP082161.1 Bradyrhizobium sp. 195 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/004/211/245/GCA_004211245.1_genomic.fna.gz	91.51	0.176	90.35-93.13	0.176	0.10-0.27	1	1.571	191/17891	86.38	SEGN01000429.1 MAG: Variovorax sp. isolate PMG_138 scaffold_101041, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/381/585/GCA_000381585.1_genomic.fna.gz	91.51	0.143	90.35-93.12	0.143	0.08-0.22	1	1.228	237/26945	85.84	KB906733.1 Acidobacteriaceae bacterium KBS 83 genomic scaffold G002DRAFT_scaffold00001.1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/721/605/GCF_000721605.1_genomic.fna.gz	91.51	0.244	90.99-92.16	0.244	0.19-0.29	1	1.382	511/35685	87.20	NZ_JOIZ01000001.1 Streptomyces sp. NRRL S-37 contig1.1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/130/955/GCF_018130955.1_genomic.fna.gz	91.50	0.433	91.12-92.00	0.433	0.36-0.49	1	1.474	827/35785	88.56	NZ_JAFCJM010000001.1 Bradyrhizobium liaoningense strain SZCCT0420 NODE_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/014/650/055/GCA_014650055.1_genomic.fna.gz	91.50	0.245	90.86-92.10	0.245	0.19-0.29	1	1.441	481/33569	87.20	BMUF01000001.1 Streptomyces malachitofuscus JCM 4493 DNA, sequence001, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/005/233/875/GCF_005233875.1_genomic.fna.gz	91.50	0.188	90.67-92.43	0.188	0.13-0.25	1	1.376	394/34737	86.55	NZ_SZPZ01000001.1 Kribbella jiaozuonensis strain NEAU-THZ27 Scaffold1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/846/235/GCF_029846235.1_genomic.fna.gz	91.50	0.512	91.09-91.83	0.512	0.44-0.60	1	1.572	908/34667	88.91	NZ_JARVWP010000001.1 Bradyrhizobium sp. CER78 1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/316/765/GCF_030316765.1_genomic.fna.gz	91.49	0.267	90.87-92.09	0.267	0.20-0.33	1	1.472	487/31774	87.39	NZ_JASZYT010000001.1 Variovorax sp. J22R187 L64629_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/020/160/955/GCA_020160955.1_genomic.fna.gz	91.49	0.347	90.80-92.13	0.347	0.26-0.44	1	1.380	418/21598	88.05	JAIUOX010000006.1 MAG: Proteobacteria bacterium isolate REYR1 spades-bin.99~NODE_1011_length_68085_cov_1.37767, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/451/275/GCA_025451275.1_genomic.fna.gz	91.49	0.275	90.39-92.55	0.275	0.18-0.44	1	1.305	167/10698	87.44	JANWKR010000001.1 MAG: Steroidobacteraceae bacterium isolate CRAIB_MAG98 c_000000000728, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/129/675/GCA_900129675.1_genomic.fna.gz	91.49	0.472	91.20-91.77	0.472	0.41-0.52	1	1.467	1119/45545	88.73	FSRD01000004.1 Bradyrhizobium erythrophlei strain GAS478 genome assembly, contig: Ga0132009_14, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/718/165/GCF_000718165.1_genomic.fna.gz	91.49	0.228	90.91-92.08	0.228	0.18-0.27	1	1.382	667/50171	86.99	NZ_JOEY01000001.1 Streptomyces fulvoviolaceus strain NRRL B-2870 contig1.1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/112/595/GCF_003112595.1_genomic.fna.gz	91.49	0.231	90.82-92.27	0.231	0.17-0.29	1	1.378	492/36417	87.04	NZ_BEWD01000001.1 Streptomyces rubrogriseus strain NBRC 15455, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/205/255/GCF_014205255.1_genomic.fna.gz	91.49	0.243	90.80-92.14	0.243	0.19-0.30	1	1.333	532/37997	87.14	NZ_JACHNE010000001.1 Streptomyces caelestis strain DSM 40084 Ga0415167_01, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/015/624/485/GCF_015624485.1_genomic.fna.gz	91.49	0.576	91.06-91.78	0.576	0.50-0.67	1	1.562	905/31643	89.17	NZ_CP061378.1 Bradyrhizobium genosp. L strain BDV5419 chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/817/655/GCF_030817655.1_genomic.fna.gz	91.49	0.236	90.96-92.07	0.236	0.18-0.28	1	1.312	645/47181	87.07	NZ_JAUSZM010000001.1 Streptomyces sp. V4I2 Ga0505337_01, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/027/983/475/GCF_027983475.1_genomic.fna.gz	91.49	0.065	89.26-91.93	0.065	0.06-0.13	1	1.117	103/24676	83.80	NZ_JAQJVM010000001.1 Pseudomonas cerasi strain NTM-B-29 Contig_0001, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/114/535/GCF_004114535.1_genomic.fna.gz	91.49	0.456	91.19-91.82	0.456	0.39-0.52	1	1.544	851/35567	88.66	NZ_LBJC01000034.1 Bradyrhizobium nanningense strain CCBAU 53390 C175_42.0, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/078/235/GCF_002078235.1_genomic.fna.gz	91.49	0.259	90.92-92.06	0.259	0.21-0.32	1	1.438	521/34897	87.32	NZ_MSGP01000001.1 Streptomyces viridosporus strain NRRL 2414 NRRL_2414_contig_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/167/105/GCF_029167105.1_genomic.fna.gz	91.47	0.443	91.11-91.82	0.443	0.39-0.50	1	1.517	868/37262	88.58	NZ_JARFML010000100.1 Bradyrhizobium yuanmingense strain ALSPC2050 NODE_100_length_1926_cov_57.4024, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/656/995/GCF_028656995.1_genomic.fna.gz	91.47	0.062	88.96-91.67	0.062	0.06-0.14	1	1.312	112/28190	83.67	NZ_JAMDGW010000001.1 Pseudomonas sp. TNT2022 ID642 642_S2_L001_R1_001_contig_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/953/985/GCF_001953985.1_genomic.fna.gz	91.47	0.223	90.66-92.58	0.223	0.15-0.30	1	1.378	315/24255	86.93	NZ_MBEI01000001.1 Mycobacterium colombiense strain NS-7390 contig_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/464/035/GCA_001464035.1_genomic.fna.gz	91.46	0.485	91.01-91.99	0.485	0.39-0.57	1	1.570	535/21562	88.76	LNEC01000001.1 MAG: Bradyrhizobiaceae bacterium Ga0074131 Ga0074131_101.1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/049/255/GCF_019049255.1_genomic.fna.gz	91.46	0.223	90.81-92.20	0.223	0.16-0.27	1	1.332	524/40197	86.94	NZ_JAGMUJ010000088.1 Streptomyces sp. AC558_RSS880 NODE_100_length_7051_cov_69.946960, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/444/875/GCF_000444875.1_genomic.fna.gz	91.46	0.268	90.86-92.02	0.268	0.21-0.32	1	1.374	470/30808	87.38	NC_021985.1 Streptomyces collinus Tu 365, complete sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/215/605/GCA_016215605.1_genomic.fna.gz	91.46	0.384	90.93-92.08	0.384	0.30-0.47	1	1.629	512/24942	88.22	JACRJB010000024.1 MAG: Rhodopseudomonas palustris isolate NC_groundwater_1818_Pr3_B-0.1um_66_35 SR-2_scaffold_141_1066281, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/610/375/GCF_003610375.1_genomic.fna.gz	91.45	0.126	89.69-93.89	0.126	0.05-0.21	1	1.381	139/17520	85.55	NZ_RAPZ01000010.1 Sphingomonas sp. PP-CC-1A-547 Ga0191672_101, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/556/045/GCF_001556045.1_genomic.fna.gz	91.45	0.458	91.11-91.94	0.458	0.39-0.52	1	1.535	838/35338	88.63	NZ_LSIC01000001.1 Bradyrhizobium sp. CCH5-F6 CCH5-F6_contig1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/934/635/GCA_025934635.1_genomic.fna.gz	91.44	0.641	91.16-91.74	0.641	0.57-0.71	1	1.548	1220/40550	89.31	JAICWX010000100.1 MAG: Streptosporangiaceae bacterium isolate LS_FP_2_bin.73 k141_1021579_length_26298_cov_39.6815, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/237/655/GCF_002237655.1_genomic.fna.gz	91.44	0.281	90.88-91.98	0.281	0.23-0.34	1	1.364	561/35547	87.47	NZ_NOKT01000010.1 Streptomyces sp. XY006 Scaffold10_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/719/285/GCF_000719285.1_genomic.fna.gz	91.44	0.225	90.80-92.23	0.225	0.17-0.28	1	1.338	527/40866	86.91	NZ_JOFS01000001.1 Streptomyces bicolor strain NRRL B-5348 contig1.1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/383/595/GCF_000383595.1_genomic.fna.gz	91.44	0.213	90.67-92.29	0.213	0.16-0.28	1	1.288	469/38272	86.76	NZ_KB911581.1 Streptomyces bottropensis ATCC 25435 StrboDRAFT_scaffold1.1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/270/025/GCF_001270025.1_genomic.fna.gz	91.44	0.242	90.70-92.23	0.242	0.18-0.31	1	1.406	527/37971	87.11	NZ_DF968184.1 Streptomyces azureus strain ATCC 14921, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/390/955/GCA_023390955.1_genomic.fna.gz	91.44	0.441	90.95-91.91	0.441	0.36-0.52	1	1.421	653/28796	88.50	JAEWBW010000644.1 MAG: Proteobacteria bacterium isolate OH_PBB_268 k127_1011608, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/014/204/745/GCA_014204745.1_genomic.fna.gz	91.44	0.240	90.62-92.14	0.240	0.18-0.31	1	1.324	522/38206	87.07	JACHLX010000001.1 Streptomyces collinus strain DSM 40129 Ga0310422_01, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/005/888/425/GCA_005888425.1_genomic.fna.gz	91.43	0.112	89.71-92.77	0.112	0.06-0.19	1	1.398	108/15667	85.17	VAZF01000048.1 MAG: Alphaproteobacteria bacterium isolate AP_1 14_1009_13_30cm_scaffold_10062, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/472/295/GCA_900472295.1_genomic.fna.gz	91.43	0.205	90.61-92.41	0.205	0.14-0.27	1	1.439	330/27820	86.67	UCIA01000077.1 Rhizobiales bacterium isolate AFS083231 genome assembly, contig: contig_77, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/026/340/655/GCF_026340655.1_genomic.fna.gz	91.43	0.204	90.71-92.12	0.204	0.15-0.26	1	1.308	522/44463	86.64	NZ_JAPEOZ010000007.1 Streptomyces sp. NBC_01275 NBC_01275_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/934/255/GCA_025934255.1_genomic.fna.gz	91.43	0.298	90.40-92.21	0.298	0.21-0.41	1	1.496	242/14755	87.58	JAICYJ010000106.1 MAG: Thermoleophilia bacterium isolate LS_ISSM_2_bin.20 k141_1045234_length_5173_cov_180.4756, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/937/902/695/GCA_937902695.1_genomic.fna.gz	91.43	0.237	90.43-92.92	0.237	0.14-0.35	1	1.308	182/13604	87.01	CALFNI010000001.1 MAG TPA_asm: uncultured Rhodanobacteraceae bacterium isolate ERR1654126_bin.46_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1505408.4418, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/335/105/GCF_003335105.1_genomic.fna.gz	91.43	0.321	90.33-92.10	0.321	0.23-0.44	1	1.417	278/15707	87.80	NZ_QFWQ01000001.1 Rhodanobacter denitrificans strain Yn1 D70275-2-02_R1_1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/831/585/GCF_002831585.1_genomic.fna.gz	91.43	0.534	91.03-91.75	0.534	0.46-0.63	1	1.559	928/35123	88.94	NZ_CP025113.1 Bradyrhizobium sp. SK17 strain CBNU chromosome, complete genome
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/908/235/GCF_001908235.1_genomic.fna.gz	91.43	0.496	91.09-91.78	0.496	0.43-0.57	1	1.521	961/38368	88.79	NZ_LGHK01000001.1 Bradyrhizobium sp. NAS96.2 Bradyrhizobium_NAS96.2_c1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/364/245/GCF_004364245.1_genomic.fna.gz	91.43	0.238	90.79-92.15	0.238	0.18-0.29	1	1.417	453/33191	87.06	NZ_SOAV01000001.1 Streptomyces sp. BK208 Ga0307686_101, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/401/765/GCF_028401765.1_genomic.fna.gz	91.42	0.251	90.85-91.87	0.251	0.21-0.30	1	1.403	608/42817	87.18	NZ_JAQOSK010000001.1 Streptomyces gilvifuscus strain T113 1, whole genome shotgun sequence
S13276_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/857/225/GCF_019857225.1_genomic.fna.gz	91.42	0.278	90.80-92.00	0.278	0.23-0.33	1	1.421	582/37456	87.43	NZ_JAFJSY010000001.1 Streptomyces plumbidurans strain KC 17012 contig1, whole genome shotgun sequence
